family,size,variant,rep,iterations,ns,bytes
dot,65536,shared,1,64,54695.312,2097152
dot,65536,wide16,1,64,70496.094,2097152
dot,65536,wide1,1,64,44837.250,2097152
dot,65536,wide4,1,64,44139.312,2097152
dot,65536,wide8,1,64,47304.688,2097152
dot,65536,vec2,1,64,109341.156,2097152
dot,65536,wide8,2,64,48734.375,2097152
dot,65536,wide2,2,64,44062.500,2097152
dot,65536,shared,2,64,54511.062,2097152
dot,65536,wide1,2,64,45128.906,2097152
dot,65536,vec2,2,64,109113.938,2097152
dot,65536,flock,2,64,55064.453,2097152
dot,65536,wide4,2,64,44412.109,2097152
dot,65536,wide16,2,64,69631.516,2097152
dot,65536,wide8,3,64,47481.125,2097152
dot,65536,flock,3,64,54742.844,2097152
dot,65536,vec2,3,64,109347.656,2097152
